name,labels,review_text,categories
Foxy's Landing & Restaurant,positive,great,"breakfast_brunch,tradamerican"
Foxy's Landing & Restaurant,positive,good,"breakfast_brunch,tradamerican"
Foxy's Landing & Restaurant,positive,love,"breakfast_brunch,tradamerican"
Panda Express,positive,enjoying,"chinese,hotdogs"
Panda Express,negative,pretty,"chinese,hotdogs"
Panda Express,negative,missed,"chinese,hotdogs"
Tacos Si Senor,negative,good,mexican
Tacos Si Senor,positive,good,mexican
Tacos Si Senor,negative,work,mexican
Barone's Pizza,positive,cheaper,"pizza,italian,venues"
Barone's Pizza,positive,worst,"pizza,italian,venues"
Barone's Pizza,negative,good,"pizza,italian,venues"
IHOP,positive,good,"breakfast_brunch,tradamerican,burgers"
IHOP,negative,worth,"breakfast_brunch,tradamerican,burgers"
IHOP,negative,work,"breakfast_brunch,tradamerican,burgers"
Juanito's Place,positive,rude,mexican
Juanito's Place,negative,good,mexican
Juanito's Place,positive,best,mexican
Los 3 Compadres,positive,angel,"mexican,seafood"
Los 3 Compadres,negative,pure,"mexican,seafood"
Los 3 Compadres,positive,right,"mexican,seafood"
Hong Kong Express,negative,love,chinese
Hong Kong Express,negative,fresh,chinese
Taco Bell,negative,sad,"hotdogs,mexican"
Taco Bell,positive,unsavory,"hotdogs,mexican"
Mi Ranchito,positive,error,mexican
Mi Ranchito,positive,wrong,mexican
Mi Ranchito,positive,loves,mexican
Don Gus Mexican & Seafood,positive,great,"mexican,seafood"
Don Gus Mexican & Seafood,positive,favorite,"mexican,seafood"
Don Gus Mexican & Seafood,positive,great,"mexican,seafood"
Denny's,positive,authentic,"diners,tradamerican,breakfast_brunch"
Denny's,negative,amazing,"diners,tradamerican,breakfast_brunch"
Denny's,negative,great,"diners,tradamerican,breakfast_brunch"
Crazy Otto's,positive,great,"diners,breakfast_brunch,tradamerican"
Crazy Otto's,negative,terrible,"diners,breakfast_brunch,tradamerican"
Crazy Otto's,negative,terrible,"diners,breakfast_brunch,tradamerican"
Del Taco,positive,bad,"hotdogs,mexican"
Del Taco,negative,glad,"hotdogs,mexican"
Mom's Teriyaki & Bowl,positive,excellent,korean
Mom's Teriyaki & Bowl,negative,excellent,korean
Mom's Teriyaki & Bowl,positive,excellent,korean
Panda Wok,positive,nice,chinese
Panda Wok,positive,burned,chinese
Restaurant at Arbor Court,negative,terrible,tradamerican
Gino's Italian Restaurant - Lancaster West,positive,supreme,"pizza,italian,wine_bars"
Gino's Italian Restaurant - Lancaster West,positive,nice,"pizza,italian,wine_bars"
Bahama Mama's,negative,good,mexican
Bahama Mama's,negative,reasonable,mexican
Pizza Hut,negative,comfort,"pizza,italian,chicken_wings"
Pizza Hut,negative,likes,"pizza,italian,chicken_wings"
Sakura Buffet,negative,enjoyed,"buffets,chinese,seafood"
Sakura Buffet,positive,pretty,"buffets,chinese,seafood"
Sakura Buffet,negative,great,"buffets,chinese,seafood"
Olives Mediterranean Café,negative,amazing,"mediterranean,vegan,greek"
Olives Mediterranean Café,positive,love,"mediterranean,vegan,greek"
Olives Mediterranean Café,negative,authentic,"mediterranean,vegan,greek"
1800blvd,positive,work,mexican
1800blvd,positive,best,mexican
1800blvd,positive,good,mexican
